NUMBER,DATE,YEAR,MONTH,DAY,ORGAN,TEAM,KIND1,PLACE,KIND2,KEYWORD,PLACE_DETAIL,ROAD_MILESTONE,ROAD,MILESTONE,LATITUDE,LONGITUDE,CHANNEL,REASON
2023020866,2023-11-13 15:26,2023,11,13,보성지사,도로안전팀,유지보수,공통,시설,차선규제봉 보수 요청,보성 IC 외 2개소,남해선(영암순천)61.2,남해선(영암순천),61.2,34.81394218,127.1071402, 안전신문고 , 시설환경 
2023020823,2023-11-13 10:32,2023,11,13,함평지사,교통안전팀,손해배상,무안1터널(서울(22.21),차량피해,노면잡물 차량 피해,무안IC,서해안선23.5,서해안선,23.5,35.00746649,126.4921282, 국민신문고 , 시설환경 
2023020815,2023-11-13 9:25,2023,11,13,광주전남본부,도로팀,기타,,기타,지반조사보고서 자료 협조,목포광양 7공구,,,  ,,, 정보공개(포털) , 기타요인 
2023020756,2023-11-09 17:06,2023,11,9,순천지사,도로안전팀,유지보수,공통,시설,진출입 통로박스 물고임 보수 요청,광양영업소,남해선(순천부산)12.6,남해선(순천부산),12.6,34.973305,127.6035467, 국민신문고 , 시설환경 
2023020734,2023-11-09 14:41,2023,11,9,함평지사,도로안전팀,유지보수,서광산IC(34.769),도로,포트홀 보수요청,"서광산 IC
진입부 구간",무안광주선34.7,무안광주선,34.7,35.11809983,126.7319409, 안전신문고 , 시설환경 
2023020732,2023-11-09 14:15,2023,11,9,광주지사,도로안전팀,유지보수,동광주IC(74.21),시설,차선규제봉 설치요청,,,,  ,,, 안전신문고 , 시설환경 
2023020729,2023-11-09 13:08,2023,11,9,광주전남본부,고객팀,영업,,기타 편의시설,"동광주 IC 진입램프 전 안전지대 
차선규제봉 설치요청",동광주 IC ,,,  ,,, 안전신문고 , 고객요인 
2023020728,2023-11-09 11:36,2023,11,9,광주지사,고객지원팀,영업,백양사(107),휴게소,"휴게소내 불법주정차 차량
(횡단보도내)",백양사휴게소(천안),논산천안선/호남선107,논산천안선/호남선,107,35.39713429,126.8066816, 안전신문고 , 고객요인 
2023020709,2023-11-09 10:39,2023,11,9,순천지사,고객지원팀,영업,섬진강(30),휴게소,"휴게소 2층 휴게공간 진입로 개선요청
(장애인 편의개선)",섬진강휴게소(부산),남해선(순천부산)31.2,남해선(순천부산),31.2,34.98702043,127.7735554, 안전신문고 , 시설환경 
2023020708,2023-11-09 10:36,2023,11,9,광주지사,고객지원팀,영업,백양사(107),휴게소,,,,,  ,,, 안전신문고 , 고객요인 
2023020705,2023-11-09 10:34,2023,11,9,남원지사,고객지원팀,영업,-,휴게소,,,,,  ,,, 안전신문고 , 고객요인 
2023020704,2023-11-09 10:32,2023,11,9,광주지사,도로안전팀,유지보수,공통,도로,포트홀 보수요청,"용봉IC-동광주IC
(순천방향)",,,  ,,, 안전신문고 , 시설환경 
2023020461,2023-11-06 13:23,2023,11,6,담양지사,교통안전팀,기타,공통,직원관련,"칭찬민원
(긴급출동 - 안전순찰원)",담양지사,,,  ,,, 칭찬 , 직원요인 
2023020411,2023-11-06 8:45,2023,11,6,광주전남본부,고객팀,용지,공통,보상,,,,,  ,,, 국민신문고(대통령비서실) , 업무처리 
2023020410,2023-11-06 8:45,2023,11,6,광주지사,도로안전팀,유지보수,서광주IC(78.36),시설,방음벽 노후화 교체요청,서광주 ic (순천방향),논산천안선/호남선78.4,논산천안선/호남선,78.4,35.18532108,126.8799199, 국민신문고 , 시설환경 
2023020373,2023-11-03 8:44,2023,11,3,보성지사,고객지원팀,영업,공통,휴게소,"칭찬민원
(휴게소 직원)",장흥정남진휴게소,남해선(영암순천)40.2,남해선(영암순천),40.2,34.71438909,126.9259949, 칭찬 , 직원요인 
2023020323,2023-11-01 16:27,2023,11,1,순천지사,도로안전팀,기타,이정입력,기타,로드킬 처리요청,승주IC(순천),논산천안선/호남선12,논산천안선/호남선,12,35.02061402,127.354005, 안전신문고 , 시설환경 
2023020253,2023-10-31 17:09,2023,10,31,함평지사,도로안전팀,유지보수,서광산IC(34.769),시설,충격흡수시설 보수 요청,무안광주선(34.76 무안),무안광주선34.7,무안광주선,34.7,35.11809983,126.7319409, 안전신문고 , 시설환경 
2023020250,2023-10-31 16:13,2023,10,31,광주전남본부,고객팀,교통,,제보,,,,,  ,,, 안전신문고 , 시설환경 
2023020249,2023-10-31 16:01,2023,10,31,담양지사,교통안전팀,유지보수,공통,시설,VMS 보수요청,고창담양선,,,  ,,, 안전신문고 , 시설환경 
2023020241,2023-10-31 15:38,2023,10,31,광주지사,도로안전팀,유지보수,공통,도로,도로 요철 보수요청,광주대구선,,,  ,,, 안전신문고 , 시설환경 
2023020231,2023-10-31 14:59,2023,10,31,함평지사,도로안전팀,유지보수,함평나비(11.4),시설,충격흡수시설 보수 요청,함평나비휴게소(광주) 근처,무안광주선11.4,무안광주선,11.4,35.03460411,126.5039737, 안전신문고 , 시설환경 
2023020221,2023-10-31 14:19,2023,10,31,담양지사,도로안전팀,유지보수,공통,시설,방음벽 설치요청,"고창담양선(40, 고창)",고창담양선40,고창담양선,40,35.25217374,127.009694, 문서 , 업무처리 
2023020201,2023-10-31 9:55,2023,10,31,보성지사,교통안전팀,손해배상,이정입력,차량피해,노선 낙하물로 인한 차량피해 보상요청,강진1터널,남해선(영암순천)21.5,남해선(영암순천),21.5,34.69761191,126.7358481, 국민신문고 , 업무처리 
2023020184,2023-10-30 15:03,2023,10,30,남원지사,고객지원팀,영업,지리산(75),휴게소,"휴게소 오수처리시설 
수리업체 비리 제보
휴게소 업체 갑질제보",지리산휴게소,광주대구선75.7,광주대구선,75.7,35.48306278,127.5724767, 팩스 , 기타요인 
2023020143,2023-10-30 9:51,2023,10,30,남원지사,고객지원팀,영업,지리산(75),휴게소,"휴게소 화장실 위생문제
시정 요구",지리산휴게소,,,  ,,, 홈페이지(전자민원) , 시설환경 
